iter 387: loss 2.4151, time 27.60ms, mfu 0.03%
iter 388: loss 2.3594, time 29.88ms, mfu 0.03%
iter 389: loss 2.2996, time 26.66ms, mfu 0.03%
iter 390: loss 2.3700, time 25.02ms, mfu 0.03%
iter 391: loss 2.4010, time 26.70ms, mfu 0.04%
iter 392: loss 2.3727, time 28.63ms, mfu 0.04%
iter 393: loss 2.3574, time 23.70ms, mfu 0.04%
iter 394: loss 2.3538, time 29.37ms, mfu 0.04%
iter 395: loss 2.3600, time 28.68ms, mfu 0.04%
iter 396: loss 2.3710, time 26.17ms, mfu 0.04%
iter 397: loss 2.3955, time 26.98ms, mfu 0.04%
iter 398: loss 2.4503, time 31.14ms, mfu 0.04%
iter 399: loss 2.4067, time 27.36ms, mfu 0.04%
iter 400: loss 2.3700, time 23.95ms, mfu 0.04%
iter 401: loss 2.4414, time 27.63ms, mfu 0.04%
iter 402: loss 2.3889, time 26.68ms, mfu 0.04%
iter 403: loss 2.3722, time 29.18ms, mfu 0.04%
iter 404: loss 2.3093, time 26.52ms, mfu 0.04%
iter 405: loss 2.3499, time 25.89ms, mfu 0.04%
iter 406: loss 2.3232, time 29.93ms, mfu 0.04%
iter 407: loss 2.4526, time 29.41ms, mfu 0.04%
iter 408: loss 2.3161, time 28.99ms, mfu 0.04%
iter 409: loss 2.4207, time 25.35ms, mfu 0.04%
iter 410: loss 2.3866, time 26.83ms, mfu 0.04%
iter 411: loss 2.3148, time 25.38ms, mfu 0.04%
iter 412: loss 2.2884, time 25.07ms, mfu 0.04%
iter 413: loss 2.3830, time 25.88ms, mfu 0.04%
iter 414: loss 2.3241, time 28.61ms, mfu 0.04%
iter 415: loss 2.3507, time 23.21ms, mfu 0.04%
iter 416: loss 2.3006, time 28.14ms, mfu 0.04%
iter 417: loss 2.3472, time 26.18ms, mfu 0.04%
iter 418: loss 2.3015, time 26.79ms, mfu 0.04%
iter 419: loss 2.4243, time 28.15ms, mfu 0.04%
iter 420: loss 2.3250, time 28.21ms, mfu 0.04%
iter 421: loss 2.3653, time 25.35ms, mfu 0.04%
iter 422: loss 2.3429, time 30.84ms, mfu 0.04%
iter 423: loss 2.3437, time 23.18ms, mfu 0.04%
iter 424: loss 2.3363, time 24.11ms, mfu 0.04%
iter 425: loss 2.3270, time 26.99ms, mfu 0.04%
iter 426: loss 2.3161, time 27.58ms, mfu 0.04%
